user_id|Name|Phone|Address|Country
1|Michael Jones|555-614-1039|212 Lakeview Dr, Riverside|MX
2|Mary Brown|555-157-4497|7991 Lakeview Dr, Bristol|CO
3|Jennifer Garcia|555-716-4875|6321 Pine St, Madison|PE
4|Jennifer Miller|555-597-3067|8313 Main St, Franklin|CL
5|Mary Brown|555-891-5991|1144 Main St, Springfield|MX
6|Michael Smith|555-931-8460|1483 Pine St, Madison|CO
7|Robert Johnson|555-771-1442|481 Cedar Rd, Madison|PE
8|John Davis|555-829-9971|1791 Maple St, Bristol|CL
9|Linda Williams|555-655-4634|2092 Oak Ave, Springfield|MX
10|Robert Jones|555-696-4575|2293 Oak Ave, Madison|CO
11|Patricia Smith|555-365-3055|9960 Oak Ave, Riverside|PE
12|Jennifer Smith|555-618-3617|781 Oak Ave, Springfield|CL
13|John Garcia|555-236-8548|3817 Lakeview Dr, Franklin|MX
14|James Miller|555-460-6768|4523 Oak Ave, Bristol|CO
15|Mary Smith|555-789-3924|1073 Pine St, Madison|PE
16|Jennifer Garcia|555-673-2884|6758 Lakeview Dr, Madison|CL
17|James Garcia|555-232-6689|4813 Pine St, Springfield|MX
18|Robert Johnson|555-114-2175|4334 Main St, Springfield|CO
19|Mary Williams|555-254-9714|9539 Oak Ave, Madison|PE
20|Patricia Brown|555-739-3895|3862 Cedar Rd, Greenville|CL
21|Mary Jones|555-748-2127|4705 Maple St, Riverside|MX
22|Robert Garcia|555-804-9532|9286 Cedar Rd, Bristol|CO
23|John Jones|555-182-8653|8578 Lakeview Dr, Riverside|PE
24|Linda Brown|555-963-8233|5677 Lakeview Dr, Riverside|CL
25|Michael Smith|555-565-4515|485 Oak Ave, Bristol|MX
26|Patricia Williams|555-290-5356|2563 Lakeview Dr, Franklin|CO
27|James Davis|555-186-8124|5685 Main St, Greenville|PE
28|Patricia Johnson|555-591-1712|4703 Maple St, Greenville|CL
29|Linda Jones|555-648-6397|1201 Cedar Rd, Greenville|MX
30|John Garcia|555-473-4832|7015 Main St, Madison|CO
31|Patricia Jones|555-548-6693|1948 Oak Ave, Madison|PE
32|James Jones|555-833-6758|2271 Lakeview Dr, Riverside|CL
33|Patricia Jones|555-214-4082|5274 Cedar Rd, Bristol|MX
34|Mary Davis|555-243-7345|5918 Cedar Rd, Madison|CO
35|Robert Jones|555-205-8996|5083 Maple St, Springfield|PE
36|Linda Jones|555-211-9432|1580 Pine St, Madison|CL
37|Patricia Johnson|555-963-7115|5840 Cedar Rd, Riverside|MX
38|Patricia Smith|555-963-5147|9360 Lakeview Dr, Springfield|CO
39|Michael Smith|555-304-6853|1051 Lakeview Dr, Greenville|PE
40|Patricia Garcia|555-632-7200|2237 Oak Ave, Greenville|CL
41|Michael Brown|555-254-1691|907 Lakeview Dr, Greenville|MX
42|John Smith|555-481-7983|3252 Main St, Franklin|CO
43|John Miller|555-814-8748|9384 Maple St, Riverside|PE
